Row0=Port(Qubit1L):Terminal(JJ1L_T1)	Row1=Port(Sink):Terminal(Sink1_T1)	Row2=Port(Source):Terminal(Source1_T1)	
Frequency   	Z[1,1]_Mag  	Z[1,1]_Phs  	Z[1,2]_Mag  	Z[1,2]_Phs  	Z[1,3]_Mag  	Z[1,3]_Phs  	Z[2,1]_Mag  	Z[2,1]_Phs  	Z[2,2]_Mag  	Z[2,2]_Phs  	Z[2,3]_Mag  	Z[2,3]_Phs  	Z[3,1]_Mag  	Z[3,1]_Phs  	Z[3,2]_Mag  	Z[3,2]_Phs  	Z[3,3]_Mag  	Z[3,3]_Phs  	
1.000000000000000E+09 	3.995542987263930E+02  	-8.999862623894258E+01  	2.266832570678659E-04  	-8.999882867572693E+01  	5.920554570174338E-02  	-8.999860075743138E+01  	2.266832840887136E-04  	-8.999882865828030E+01  	1.937385109084514E+02  	-8.999954887253924E+01  	1.063950883423214E-03  	8.999992326705750E+01  	5.920555275909769E-02  	-8.999860073998464E+01  	1.063950883423214E-03  	8.999992326705743E+01  	6.338519823051178E+02  	-8.999948421280054E+01  	
1.009000000000000E+09 	3.822903417370343E+02  	-8.999870703638766E+01  	2.184432981370307E-04  	-8.999349618105875E+01  	5.664262763822447E-02  	-9.000321250732641E+01  	2.184433015164734E-04  	-8.999351294488157E+01  	1.919852383065851E+02  	-8.999954904100795E+01  	1.073395649120969E-03  	9.000000027114069E+01  	5.664262851451878E-02  	-9.000322927114939E+01  	1.073395649120978E-03  	9.000000027113984E+01  	6.281808913620117E+02  	-8.999948428308990E+01  	
1.018000000000000E+09 	3.665361563765065E+02  	-8.999874318004348E+01  	2.109517448669225E-04  	-8.998838197387970E+01  	5.430444141395625E-02  	-9.000730684580780E+01  	2.109517456524164E-04  	-8.998837717988762E+01  	1.902627427527988E+02  	-8.999954918763966E+01  	1.082842420690355E-03  	9.000006946065670E+01  	5.430444161616300E-02  	-9.000730205181580E+01  	1.082842420690328E-03  	9.000006946066706E+01  	6.226099214678280E+02  	-8.999948434440374E+01  	
1.027000000000000E+09 	3.521027332226868E+02  	-8.999877157361077E+01  	2.041153040277579E-04  	-8.998350106183538E+01  	5.216281781936626E-02  	-9.001091698072186E+01  	2.041153151637991E-04  	-8.998347262987606E+01  	1.885702151068468E+02  	-8.999954931332526E+01  	1.092291182291013E-03  	9.000013128839741E+01  	5.216282066524439E-02  	-9.001088854876132E+01  	1.092291182291011E-03  	9.000013128840152E+01  	6.171364404187847E+02  	-8.999948439724216E+01  	
1.036000000000000E+09 	3.388298507311147E+02  	-8.999884473271835E+01  	1.978548037990087E-04  	-8.997886705823916E+01  	5.019388899442662E-02  	-9.001407448630879E+01  	1.978548006601999E-04  	-8.997886485030187E+01  	1.869068743453427E+02  	-8.999954941893890E+01  	1.101741917271750E-03  	9.000018618254563E+01  	5.019388819814038E-02  	-9.001407227837113E+01  	1.101741917271720E-03  	9.000018618254971E+01  	6.117579074782343E+02  	-8.999948444208339E+01  	
1.045000000000000E+09 	3.265828862265379E+02  	-8.999889501601366E+01  	1.921037256438741E-04  	-8.997449224752388E+01  	4.837758259673595E-02  	-9.001680937334797E+01  	1.921037255092655E-04  	-8.997449797872702E+01  	1.852719663509857E+02  	-8.999954950533876E+01  	1.111194608336155E-03  	9.000023454828198E+01  	4.837758256283749E-02  	-9.001681510455097E+01  	1.111194608336148E-03  	9.000023454828251E+01  	6.064718694378344E+02  	-8.999948447938502E+01  	
1.054000000000000E+09 	3.152468632206292E+02  	-8.999892785747299E+01  	1.868052610465055E-04  	-8.997038765805532E+01  	4.669676464608891E-02  	-9.001915016706833E+01  	1.868052888925370E-04  	-8.997038802604924E+01  	1.836647627638170E+02  	-8.999954957336723E+01  	1.120649237929261E-03  	9.000027676924411E+01  	4.669677160691803E-02  	-9.001915053506279E+01  	1.120649237929257E-03  	9.000027676924240E+01  	6.012759568804623E+02  	-8.999948450958489E+01  	
1.063000000000000E+09 	3.047237388389526E+02  	-8.999895387979379E+01  	1.819110975478961E-04  	-8.996656312223283E+01  	4.513684509139609E-02  	-9.002112397276574E+01  	1.819111065851818E-04  	-8.996655504573499E+01  	1.820845598908340E+02  	-8.999954962385117E+01  	1.130105788369963E-03  	9.000031320888601E+01  	4.513684733378038E-02  	-9.002111589626783E+01  	1.130105788369997E-03  	9.000031320888165E+01  	5.961678806330336E+02  	-8.999948453310184E+01  	
1.072000000000000E+09 	2.949293648434040E+02  	-8.999897845774753E+01  	1.773797190288972E-04  	-8.996302733756104E+01  	4.368527792801863E-02  	-9.002275654275044E+01  	1.773796987548551E-04  	-8.996301275007816E+01  	1.805306776705289E+02  	-8.999954965760236E+01  	1.139564242057838E-03  	9.000034421170862E+01  	4.368527293490462E-02  	-9.002274195526748E+01  	1.139564242057813E-03  	9.000034421170886E+01  	5.911454283979872E+02  	-8.999948455033636E+01  	
1.081000000000000E+09 	2.857900231043712E+02  	-8.999901739228196E+01  	1.731746279358382E-04  	-8.995978792611203E+01  	4.233106164752181E-02  	-9.002407234206849E+01  	1.731746513483995E-04  	-8.995978423438619E+01  	1.790024586891546E+02  	-8.999954967541751E+01  	1.149024581693137E-03  	9.000037010445942E+01  	4.233106737052306E-02  	-9.002406865034180E+01  	1.149024581693138E-03  	9.000037010445745E+01  	5.862064615530350E+02  	-8.999948456167176E+01  	
